x,y,z
-1147,40,1143
-2162,35,-614
-1743,50,-631
-1600,66,-544
-1214,19,-512
-327,49,-534
-328,37,-398
-46,62,-410
237,43,-620
433,20,-528
720,46,268
823,64,381
515,52,530
703,28,684
517,72,1205
431,7,1193
111,69,1728
-192,34,-535
723,58,-570
-340,15,1858
-482,62,1363
517,71,1207
-2186,50,229
-1796,41,-488
322,72,-274
-1383,4,1661
-990,45,-306
-1153,51,1144
-260,68,1099
-343,64,864
796,45,-213
673,38,-374
-2159,36,-615
73,32,-441
-939,63,454
-701,74,1147
-1065,43,1477
-1196,65,-89
-329,50,-535
-1027,68,-75
-713,3,-171
-1563,10,1472
-1524,8,1244
-2164,52,783
590,65,882
-595,63,971
-511,53,910
-1966,49,1198
273,61,1560
-1267,58,-389
-1969,48,1647
-237,56,-620
269,74,-389
-269,50,296
-1606,32,-355
-1851,82,1387
-789,30,590
-1405,53,1103
-1742,67,1648
-744,35,390
-2162,61,1484
-437,6,410
-2132,52,1790
-1056,50,-453
-2010,29,-602
-895,36,54
-869,42,707
-224,44,1432
-31,50,1214
77,53,1206
264,5,1504
598,42,1132
816,48,931
-364,7,-55
-2151,52,1061
457,69,1440
-1771,43,1497
-2097,38,-143
-1038,73,1028
-1021,72,198
80,60,1399
732,49,1816
-2031,75,449
-770,42,-381
-735,17,-531
750,75,1554
801,35,-81
-546,42,-234
-1757,64,1156
824,64,376
-508,46,1628
-755,57,1742
765,44,1318
-1179,74,1855
-1753,49,-627
20,77,1648
45,62,-243
364,20,1812
-1037,35,1187
-1574,39,1822
-973,57,1672
-579,37,210
-409,74,670
-1883,75,-330
-827,64,119
-2043,42,132
-270,28,1685
-321,28,147
-333,61,868
